SpecimenID,Species,SamplingCategory,YearSampled,State,SiteInfo,lat,lon,Sp,Species_samplingcategory
55045,Myrtle Warbler,contemporary,2011,New York,"Caroline Township, Brooktondale",43.382,-76.388,YRWA,YRWA_contemporary
55229,Myrtle Warbler,contemporary,2004,New York,"Greece Township, ~6.75 km NE Hilton, Braddock Bay Bird Observatory",43.323,-77.717,YRWA,YRWA_contemporary
553,Blackpoll Warbler,contemporary,2008,New York,Greene County - Catskills,42.271,-74.212,BLPW,BLPW_contemporary
55362,Myrtle Warbler,contemporary,2013,New York,"Cornell Laboratory of Ornithology, ~5.5 km NE Ithaca, Sapsucker Woods Road  (Bldg)",42.479,-76.45,YRWA,YRWA_contemporary
55366,Myrtle Warbler,contemporary,2013,New York,"Cornell Laboratory of Ornithology, ~5.5 km NE Ithaca, Sapsucker Woods Road  (Bldg)",42.479,-76.45,YRWA,YRWA_contemporary
554,Blackpoll Warbler,contemporary,2008,New York,Greene County - Catskills,42.271,-74.212,BLPW,BLPW_contemporary
555,Blackpoll Warbler,contemporary,2008,New York,Greene County - Catskills,42.271,-74.212,BLPW,BLPW_contemporary
556,Blackpoll Warbler,contemporary,2008,New York,Greene County - Catskills,42.271,-74.212,BLPW,BLPW_contemporary
557,Blackpoll Warbler,contemporary,2008,New York,Keene - Adirondack Area,44.255,-73.792,BLPW,BLPW_contemporary
558,Blackpoll Warbler,contemporary,2008,New York,Keene - Adirondack Area,44.255,-73.792,BLPW,BLPW_contemporary
559,Blackpoll Warbler,contemporary,2008,New York,Keene - Adirondack Area,44.255,-73.792,BLPW,BLPW_contemporary
56200,Myrtle Warbler,contemporary,2015,New York,"Lake Placid, 3.5 km S at Cornell-Uihlein Farm",44.255,-73.983,YRWA,YRWA_contemporary
56968,Myrtle Warbler,contemporary,2015,New York,"Cornell Laboratory of Ornithology, ~5.5 km NE Ithaca, Sapsucker Woods Road  (Bldg)",42.479,-76.45,YRWA,YRWA_contemporary
56975,Myrtle Warbler,contemporary,2015,New York,"Mecklenburg, 2.6 km NNE on Route 228",42.463,-76.707,YRWA,YRWA_contemporary
570,Blackpoll Warbler,contemporary,2008,New York,North Elba - Adirondack Area,44.243,-73.958,BLPW,BLPW_contemporary
571,Blackpoll Warbler,contemporary,2008,New York,North Elba - Adirondack Area,44.243,-73.958,BLPW,BLPW_contemporary
572,Blackpoll Warbler,contemporary,2008,New York,North Elba - Adirondack Area,44.243,-73.958,BLPW,BLPW_contemporary
575,Blackpoll Warbler,contemporary,2008,New York,North Elba - Adirondack Area,44.243,-73.958,BLPW,BLPW_contemporary
578,Blackpoll Warbler,contemporary,2008,New York,North Hudson - Adirondack Area,43.949,-73.73,BLPW,BLPW_contemporary
581,Blackpoll Warbler,contemporary,2008,New York,North Hudson - Adirondack Area,43.949,-73.73,BLPW,BLPW_contemporary
589,Blackpoll Warbler,contemporary,2008,New York,Greene County - Catskills,42.271,-74.212,BLPW,BLPW_contemporary
590,Blackpoll Warbler,contemporary,2008,New York,Greene County - Catskills,42.271,-74.212,BLPW,BLPW_contemporary
